Departements;H_0_19_ans;H_20_39_ans;H_40_59_ans;H_60_74_ans;H_75_ans;F_0_19_ans;F_20_39_ans;F_40_59_ans;F_60_74_ans;F_75_ans
Ain;87575;75551;89736;50980;22391;81376;75982;90383;55355;32915
Aisne;66681;56560;66578;47725;18606;62667;56438;67593;52212;30443
Allier;34326;31183;41416;34079;17836;32470;29871;43100;38919;28545
Alpes-de-Haute-Provence;17756;15247;21035;17686;8750;16043;15133;22424;18718;12910
Hautes-Alpes;15277;13535;18384;14428;6640;14010;13255;18967;15617;9909
Alpes-Maritimes;117419;114181;135889;92087;54641;112948;119491;147064;109755;85795
Ardèche;36176;30590;43647;33922;15718;34415;30075;44324;35563;23345
Ardennes;30901;28053;34701;25383;10266;29403;27359;35161;27503;16369
Ariège;15760;14824;19822;16342;8119;14854;13947;20618;16906;11923
Aube;38937;34966;38096;26664;11975;35972;34622;39281;30228;19406
Aude;41062;35238;47487;39008;18806;38523;36124;50484;43067;27920
Aveyron;29142;27233;36413;29684;15604;26596;24773;35556;30928;23281
Bouches-du-Rhône;246402;236352;251227;160347;82434;238086;248982;273223;186165;125177
Calvados;81815;77556;84759;61727;26584;77169;79309;88310;71092;44518
Cantal;13620;13071;19363;16369;7916;13141;12322;18763;16641;12074
Charente;36758;34915;44583;35313;17313;34708;34542;46364;38667;25834
Charente-Maritime;66593;60052;79966;69932;34711;62863;59713;85832;80384;52428
Cher;31688;29109;37922;30199;14710;30276;28521;38686;33592;22091
Corrèze;24846;22610;30756;25189;12451;22678;21440;31256;27967;19878
Corse-du-Sud;16868;15970;22027;15056;8329;15859;17732;22894;16293;11725
Haute-Corse;19796;21145;24028;17336;8921;18371;21882;24876;18109;12052
Côte-d'Or;61079;63484;64946;45357;21137;59593;64423;68558;50838;32611
Côtes-d'Armor;67039;54984;76031;62618;28212;64103;53840;77488;68761;46042
Creuse;10260;9824;14721;14283;6332;9986;9091;14863;14645;10500
Dordogne;39341;35922;51704;47274;23477;37131;34819;54823;51334;34905
Doubs;68594;65634;67712;43093;20625;65138;65111;68452;48043;30819
Drôme;64213;55135;66070;45268;22133;61107;55837;69163;50903;33293
Eure;76433;62849;78497;51511;19976;72805;63810;80514;57117;31525
Eure-et-Loir;54405;44751;56227;36885;16641;51590;44947;56903;40368;25461
Finistère;103510;97243;118820;87394;37059;96945;92724;119263;97762;63581
Gard;87263;76136;94388;70893;33015;82781;77303;100931;78962;49011
Haute-Garonne;172937;200110;180307;95638;44081;168913;202467;183442;108696;68324
Gers;19862;16460;25137;20794;11074;17995;16537;25990;21901;15637
Gironde;195062;203969;210380;125802;57045;189102;214258;220520;146972;91335
Hérault;139199;140609;143220;97982;49946;134468;148746;153174;115577;73712
Ille-et-Vilaine;140839;136008;141080;80017;36274;134570;136503;140883;89894;58568
Indre;21775;19635;27330;23670;12202;20839;19269;28268;25268;18442
Indre-et-Loire;72617;67337;75667;52255;25107;69946;70377;78716;58620;38766
Isère;163687;149395;165200;97134;45180;156732;150568;167926;107381;67875
Jura;29162;26022;33864;24676;11965;27765;25260;34407;26713;18092
Landes;44625;38998;55629;42598;19938;41228;39313;57507;47144;29845
Loir-et-Cher;37025;31241;42059;31866;16134;35021;30849;42724;35280;24176
Loire;95806;83802;93577;64444;32574;89781;84177;96287;73234;51601
Haute-Loire;25804;22087;30368;23386;10080;24159;21121;30198;24179;16164
Loire-Atlantique;187701;180749;185837;108468;45619;179074;180859;189654;124144;76663
Loiret;88405;76946;86039;55314;26098;84029;78285;87815;61952;39115
Lot;16399;15181;21779;20816;10409;15387;14580;22554;22005;15098
Lot-et-Garonne;35591;31169;40655;32781;17592;34291;32138;43225;36764;25668
Lozère;8222;7450;10406;8281;3911;7367;7205;9833;8135;5720
Maine-et-Loire;104144;92217;102156;67077;32838;99276;94220;102900;73955;50745
Manche;53736;49426;62741;50234;23371;51413;46593;63312;53519;37020
Marne;68883;68577;69694;45224;18914;66622;67777;71618;53333;31063
Haute-Marne;17791;17854;21718;17043;7792;16826;16015;21918;18946;12328
Mayenne;38210;31746;39593;27273;13554;35869;30259;39154;29118;20648
Meurthe-et-Moselle;87038;93053;90377;58988;25074;83270;92016;92169;66813;40939
Meuse;20517;19220;23481;18260;7331;19019;17379;23149;19239;11424
Morbihan;86187;73655;98079;77775;33777;80482;70646;100991;87156;54355
Moselle;118778;123122;138025;90731;36823;111816;120271;140185;100726;57963
Nièvre;19782;17892;24495;22811;11013;18478;16795;25218;25154;17880
Nord;346314;326977;318146;190025;70928;330074;335436;329522;224573;126304
Oise;109343;95938;110173;64489;24617;105473;98687;111622;71621;37732
Orne;30557;26032;34875;28737;13694;28449;25090;34949;30919;21829
Pas-de-Calais;187465;170810;185424;121010;42540;178149;164562;187561;140756;76741
Puy-de-Dôme;77215;77511;84785;58433;26069;74786;77767;85613;65103;42195
Pyrénées-Atlantiques;74154;71022;88854;62933;32101;70507;71860;94140;71259;51759
Hautes-Pyrénées;23600;22239;28976;23800;11767;21684;21440;30592;26543;18549
Pyrénées-Orientales;52440;45245;58824;46811;24911;50105;47741;63640;53394;37322
Bas-Rhin;132548;142525;149132;93188;39154;128619;147562;153295;101995;59456
Haut-Rhin;89826;85876;102996;66761;28709;84638;85925;104917;71874;42279
Rhône;244493;256832;226891;119544;62084;237439;271281;233835;142460;97894
Haute-Saône;26919;22865;31275;23327;9987;25157;22424;31551;24969;14917
Saône-et-Loire;60297;52545;69510;55998;27249;56412;51034;71309;60469;42358
Sarthe;69175;58707;71019;50353;24167;65114;59008;71898;55554;37182
Savoie;51364;48863;58961;37543;17195;48388;48298;59258;40938;26851
Haute-Savoie;106975;105699;114572;58768;26603;99080;104199;116310;66107;40167
Paris;201478;340782;257509;140131;66782;201303;379574;274244;172508;108055
Seine-Maritime;156303;146826;152323;102331;43937;148532;150168;158295;119257;72874
Seine-et-Marne;201088;174068;186572;96977;36914;192180;184507;195854;107552;56763
Yvelines;199333;167639;194939;97139;47278;189493;173918;200660;112434;70077
Deux-Sèvres;43493;37179;49098;35453;17669;40932;36168;50108;38146;26104
Somme;69496;66692;71170;47649;19522;66398;67407;72561;54020;32327
Tarn;43533;36911;50237;37385;19628;41245;37472;52265;41237;29507
Tarn-et-Garonne;32675;26071;34623;23550;11502;30158;26035;35688;25529;16423
Var;116563;107593;135067;103179;58539;107633;108356;144083;118539;85338
Vaucluse;67834;57177;70491;48728;24568;63958;59990;75494;55970;36509
Vendée;80239;66392;88562;70159;31641;75242;65485;89295;77173;47081
Vienne;51445;49971;52927;38680;18774;50297;51001;54728;42210;28836
Haute-Vienne;39577;37499;45957;35453;17255;38959;40359;47433;40157;27714
Vosges;39569;35660;47059;36951;15322;37133;34326;47316;40085;25402
Yonne;38230;32667;42456;33525;15200;35682;31947;43649;36266;23384
Territoire de Belfort;17133;16798;17959;11702;5166;15384;14933;18295;13117;8102
Essonne;183528;166597;171877;84337;37505;175234;171038;174750;94082;56508
Hauts-de-Seine;203150;224598;206327;96653;44888;196471;241229;226306;118662;74816
Seine-Saint-Denis;246377;231603;214274;94258;33495;239743;246552;210322;103546;49170
Val-de-Marne;185219;193110;178421;87707;37446;178452;205772;188869;102415;61161
Val-d'Oise;185117;158682;158430;79082;29470;178210;170536;165970;90053;44492
